resolution,viewport,frequency
1152,1150,1
1152,1152,962
1152,1154,2
1152,1156,1
1152,1366,1
1192,594,1
1192,616,1
1192,730,1
1192,1028,1
1192,1070,1
1192,1093,1
1192,1101,2
1192,1110,1
1192,1135,1
1192,1138,2
1192,1169,2
1192,1170,4
1192,1174,33
1192,1175,1
1192,1176,1
1192,1178,3
1192,1192,339
1249,698,1
1249,765,1
1249,783,1
1249,1001,1
1249,1009,1
1249,1019,2
1249,1056,3
1249,1092,1
1249,1099,1
1249,1104,2
1249,1157,1
1249,1158,1
1249,1169,4
1249,1174,1
1249,1175,1
1249,1190,1
1249,1191,1
1249,1207,1
1249,1215,1
1249,1224,1
1249,1226,5
1249,1228,1
1249,1230,44
1249,1231,1
1249,1234,13
1249,1236,1
1249,1249,437
1280,206,1
1280,213,1
1280,217,1
1280,220,1
1280,234,1
1280,241,1
1280,248,1
1280,320,11
1280,339,1
1280,433,1
1280,436,1
1280,441,1
1280,451,1
1280,473,1
1280,483,2
1280,499,1
1280,505,1
1280,509,1
1280,520,1
1280,533,1
1280,550,1
1280,552,4
1280,557,1
1280,559,1
1280,561,1
1280,563,2
1280,570,1
1280,571,5
1280,577,1
1280,582,1
1280,603,2
1280,606,1
1280,607,1
1280,609,1
1280,611,6
1280,624,2
1280,630,1
1280,632,1
1280,635,1
1280,640,1
1280,642,1
1280,644,1
1280,649,1
1280,651,1
1280,655,2
1280,666,1
1280,668,2
1280,669,1
1280,672,1
1280,674,3
1280,675,1
1280,676,2
1280,680,1
1280,682,1
1280,683,1
1280,685,1
1280,689,1
1280,690,1
1280,703,1
1280,708,1
1280,709,1
1280,716,2
1280,717,1
1280,719,1
1280,720,1
1280,728,3
1280,729,1
1280,739,1
1280,740,2
1280,748,2
1280,752,1
1280,753,1
1280,756,1
1280,757,4
1280,759,1
1280,760,1
1280,761,1
1280,762,1
1280,763,58
1280,764,2
1280,765,1
1280,766,1
1280,767,1
1280,769,3
1280,770,7
1280,771,48
1280,772,13
1280,774,3
1280,776,1
1280,777,1
1280,778,1
1280,779,1
1280,781,1
1280,782,4
1280,784,29
1280,785,1
1280,786,1
1280,787,1
1280,790,1
1280,791,4
1280,792,1
1280,793,1
1280,794,2
1280,862,2
1280,865,3
1280,911,2
1280,920,2
1280,948,4
1280,960,4
1280,968,4
1280,976,2
1280,977,2
1280,978,4
1280,979,10
1280,980,93
1280,984,3
1280,986,2
1280,993,2
1280,994,5
1280,995,2
1280,996,2
1280,997,2
1280,999,3
1280,1000,8
1280,1001,5
1280,1002,2
1280,1003,11
1280,1004,5
1280,1005,1
1280,1006,7
1280,1007,6
1280,1008,13
1280,1010,6
1280,1011,2
1280,1012,5
1280,1013,5
1280,1014,9
1280,1015,1
1280,1016,1
1280,1017,3
1280,1018,5
1280,1019,4
1280,1020,2
1280,1021,13
1280,1022,3
1280,1023,4
1280,1024,94
1280,1025,4
1280,1026,1
1280,1027,6
1280,1028,3
1280,1029,8
1280,1030,8
1280,1031,6
1280,1032,14
1280,1033,2
1280,1034,61
1280,1035,1
1280,1036,4
1280,1037,6
1280,1038,5
1280,1039,3
1280,1040,104
1280,1041,2
1280,1042,5
1280,1043,4
1280,1044,4
1280,1045,9
1280,1046,8
1280,1047,9
1280,1048,8
1280,1049,5
1280,1050,22
1280,1051,3
1280,1052,3
1280,1053,9
1280,1055,23
1280,1056,5
1280,1057,3
1280,1058,5
1280,1059,4
1280,1060,6
1280,1061,7
1280,1062,2
1280,1063,13
1280,1064,5
1280,1065,1
1280,1066,21
1280,1067,8
1280,1068,6
1280,1069,1
1280,1070,3
1280,1071,2
1280,1072,4
1280,1073,4
1280,1074,1
1280,1075,4
1280,1076,7
1280,1077,3
1280,1078,9
1280,1079,2
1280,1080,3
1280,1081,4
1280,1082,4
1280,1083,5
1280,1084,1
1280,1085,2
1280,1086,5
1280,1087,2
1280,1088,28
1280,1089,3
1280,1090,1
1280,1091,5
1280,1092,3
1280,1093,6
1280,1094,4
1280,1095,2
1280,1096,3
1280,1097,4
1280,1098,3
1280,1099,6
1280,1100,10
1280,1101,7
1280,1102,5
1280,1103,6
1280,1104,6
1280,1105,4
1280,1106,11
1280,1107,3
1280,1108,10
1280,1109,10
1280,1110,5
1280,1111,2
1280,1112,7
1280,1113,2
1280,1114,4
1280,1115,2
1280,1116,7
1280,1117,4
1280,1118,3
1280,1119,9
1280,1120,11
1280,1121,7
1280,1122,1
1280,1123,4
1280,1124,7
1280,1125,5
1280,1126,4
1280,1127,2
1280,1128,3
1280,1129,12
1280,1130,22
1280,1131,2
1280,1133,3
1280,1134,7
1280,1135,3
1280,1136,6
1280,1137,5
1280,1138,5
1280,1139,3
1280,1140,5
1280,1141,1
1280,1142,4
1280,1143,3
1280,1144,7
1280,1145,5
1280,1146,5
1280,1147,2
1280,1148,3
1280,1149,4
1280,1150,4
1280,1151,3
1280,1152,12
1280,1153,6
1280,1154,3
1280,1155,7
1280,1156,4
1280,1157,11
1280,1158,2
1280,1160,10
1280,1161,1
1280,1162,7
1280,1163,17
1280,1164,6
1280,1165,7
1280,1166,1
1280,1167,10
1280,1168,5
1280,1169,12
1280,1170,4
1280,1171,6
1280,1172,4
1280,1173,8
1280,1174,6
1280,1175,10
1280,1176,7
1280,1177,8
1280,1178,1
1280,1179,7
1280,1180,7
1280,1181,9
1280,1182,9
1280,1183,10
1280,1184,5
1280,1185,7
1280,1186,4
1280,1187,7
1280,1188,5
1280,1189,6
1280,1190,11
1280,1191,20
1280,1192,13
1280,1193,9
1280,1194,7
1280,1195,10
1280,1196,21
1280,1197,16
1280,1198,4
1280,1199,13
1280,1200,3
1280,1201,9
1280,1202,9
1280,1203,13
1280,1204,11
1280,1205,7
1280,1206,31
1280,1207,8
1280,1208,2
1280,1209,13
1280,1210,9
1280,1211,13
1280,1212,61
1280,1213,18
1280,1214,4
1280,1215,71
1280,1216,18
1280,1217,6
1280,1218,31
1280,1219,16
1280,1220,8
1280,1221,19
1280,1222,14
1280,1223,13
1280,1224,7
1280,1225,7
1280,1226,30
1280,1227,16
1280,1228,17
1280,1229,9
1280,1230,11
1280,1231,21
1280,1232,13
1280,1233,8
1280,1234,13
1280,1235,20
1280,1236,18
1280,1237,32
1280,1238,24
1280,1239,8
1280,1240,29
1280,1241,20
1280,1242,17
1280,1243,60
1280,1244,16
1280,1245,46
1280,1246,43
1280,1247,86
1280,1248,27
1280,1249,47
1280,1250,39
1280,1251,93
1280,1252,43
1280,1253,8
1280,1254,27
1280,1255,175
1280,1256,45
1280,1257,139
1280,1258,67
1280,1259,4418
1280,1260,683
1280,1261,44
1280,1262,85
1280,1263,95
1280,1264,187
1280,1265,34
1280,1266,87
1280,1267,51
1280,1268,28
1280,1269,17
1280,1270,40
1280,1271,29
1280,1272,156
1280,1273,16
1280,1274,36
1280,1275,21
1280,1276,85
1280,1277,42
1280,1278,84
1280,1279,127
1280,1280,18348
1280,1281,10
1280,1282,20
1280,1283,1
1280,1284,4
1280,1285,8
1280,1286,2
1280,1287,1
1280,1290,1
1280,1293,1
1280,1310,1
1280,1330,1
1280,1345,1
1280,1366,1
1280,1384,1
1280,1406,1
1280,1422,4
1280,1423,1
1280,1475,1
1280,1531,1
1280,1536,1
1280,1706,1
1280,1920,2
1280,2560,1
1311,444,1
1311,593,1
1311,595,2
1311,732,2
1311,773,1
1311,791,1
1311,804,2
1311,1023,1
1311,1025,2
1311,1031,1
1311,1043,1
1311,1044,2
1311,1080,1
1311,1082,1
1311,1123,1
