resolution,viewport,frequency
1440,983,1
1440,987,2
1440,988,1
1440,998,1
1440,999,2
1440,1004,1
1440,1008,1
1440,1009,1
1440,1012,1
1440,1017,1
1440,1018,1
1440,1021,2
1440,1022,1
1440,1024,4
1440,1026,1
1440,1034,4
1440,1040,3
1440,1045,1
1440,1057,1
1440,1061,1
1440,1070,1
1440,1071,1
1440,1076,1
1440,1086,1
1440,1093,1
1440,1096,1
1440,1107,1
1440,1112,1
1440,1126,1
1440,1127,1
1440,1132,1
1440,1136,2
1440,1138,1
1440,1140,19
1440,1141,1
1440,1144,6
1440,1147,1
1440,1152,3
1440,1154,1
1440,1157,2
1440,1160,1
1440,1170,1
1440,1184,1
1440,1185,1
1440,1189,1
1440,1196,2
1440,1200,1
1440,1204,1
1440,1206,1
1440,1208,3
1440,1213,1
1440,1214,1
1440,1216,1
1440,1217,1
1440,1221,1
1440,1227,1
1440,1229,2
1440,1232,1
1440,1236,1
1440,1239,1
1440,1247,1
1440,1264,1
1440,1266,1
1440,1268,1
1440,1269,1
1440,1275,2
1440,1277,1
1440,1279,1
1440,1287,1
1440,1290,2
1440,1296,2
1440,1299,1
1440,1301,1
1440,1309,1
1440,1316,1
1440,1320,2
1440,1322,1
1440,1326,1
1440,1339,1
1440,1341,1
1440,1344,2
1440,1345,1
1440,1351,4
1440,1352,2
1440,1353,1
1440,1355,1
1440,1356,1
1440,1357,1
1440,1358,2
1440,1359,1
1440,1361,2
1440,1363,1
1440,1366,1
1440,1367,1
1440,1370,2
1440,1371,1
1440,1374,2
1440,1375,3
1440,1376,1
1440,1378,3
1440,1379,1
1440,1380,1
1440,1383,3
1440,1386,2
1440,1387,2
1440,1391,3
1440,1396,2
1440,1400,2
1440,1401,1
1440,1402,1
1440,1403,2
1440,1404,1
1440,1406,1
1440,1407,1
1440,1409,2
1440,1410,1
1440,1411,3
1440,1412,3
1440,1413,1
1440,1414,1
1440,1415,8
1440,1416,1
1440,1417,5
1440,1419,194
1440,1420,49
1440,1421,3
1440,1422,7
1440,1423,2
1440,1424,6
1440,1426,4
1440,1427,4
1440,1428,3
1440,1429,4
1440,1430,2
1440,1431,2
1440,1432,6
1440,1433,5
1440,1434,3
1440,1435,4
1440,1436,3
1440,1438,5
1440,1439,4
1440,1440,1569
1440,1441,1
1440,1447,1
1440,1463,1
1440,1600,2
1360,213,1
1360,418,1
1360,453,1
1360,524,4
1360,544,1
1360,569,1
1360,618,2
1360,625,1
1360,653,1
1360,658,1
1360,664,1
1360,675,1
1360,690,1
1360,696,1
1360,721,1
1360,731,1
1360,741,1
1360,745,1
1360,756,1
1360,763,2
1360,771,3
1360,782,1
1360,785,1
1360,807,1
1360,813,1
1360,820,1
1360,834,1
1360,936,1
1360,944,1
1360,953,1
1360,967,1
1360,979,1
1360,980,1
1360,983,1
1360,995,1
1360,996,1
1360,1001,2
1360,1005,1
1360,1022,1
1360,1024,1
1360,1029,3
1360,1032,2
1360,1034,2
1360,1037,1
1360,1039,3
1360,1040,5
1360,1045,2
1360,1047,1
1360,1048,1
1360,1050,2
1360,1060,13
1360,1088,3
1360,1095,1
1360,1098,1
1360,1123,2
1360,1125,1
1360,1131,1
1360,1133,1
1360,1141,1
1360,1148,1
1360,1155,1
1360,1158,1
1360,1180,1
1360,1187,1
1360,1200,2
1360,1206,1
1360,1216,1
1360,1223,1
1360,1229,2
1360,1236,5
1360,1244,3
1360,1248,1
1360,1251,1
1360,1253,1
1360,1256,1
1360,1264,1
1360,1267,1
1360,1268,1
1360,1270,2
1360,1272,1
1360,1273,1
1360,1286,4
1360,1288,2
1360,1294,3
1360,1295,4
1360,1297,3
1360,1298,5
1360,1303,1
1360,1311,1
1360,1314,2
1360,1315,2
1360,1316,1
1360,1320,1
1360,1321,1
1360,1323,1
1360,1324,1
1360,1326,3
1360,1327,2
1360,1328,1
1360,1329,2
1360,1330,1
1360,1332,2
1360,1334,1
1360,1335,2
1360,1336,1
1360,1337,1
1360,1338,1
1360,1339,153
1360,1340,27
1360,1341,4
1360,1342,9
1360,1343,4
1360,1344,9
1360,1345,1
