resolution,viewport,frequency
1920,1024,13
1920,1033,2
1920,1034,1
1920,1035,1
1920,1040,1
1920,1041,1
1920,1055,2
1920,1063,1
1920,1068,1
1920,1071,1
1920,1072,2
1920,1073,1
1920,1075,1
1920,1082,1
1920,1084,1
1920,1088,2
1920,1089,1
1920,1093,1
1920,1096,1
1920,1097,1
1920,1099,1
1920,1100,3
1920,1102,2
1920,1109,1
1920,1110,1
1920,1111,1
1920,1116,1
1920,1122,2
1920,1133,2
1920,1135,1
1920,1138,1
1920,1143,1
1920,1147,1
1920,1148,1
1920,1151,1
1920,1153,1
1920,1154,1
1920,1155,1
1920,1156,1
1920,1159,1
1920,1160,1
1920,1164,1
1920,1168,1
1920,1173,1
1920,1178,1
1920,1184,1
1920,1186,1
1920,1190,1
1920,1191,1
1920,1194,1
1920,1199,1
1920,1202,1
1920,1208,2
1920,1209,1
1920,1212,1
1920,1215,1
1920,1216,1
1920,1218,1
1920,1221,1
1920,1222,1
1920,1225,4
1920,1229,1
1920,1231,1
1920,1232,1
1920,1241,2
1920,1243,3
1920,1249,1
1920,1257,1
1920,1259,1
1920,1262,1
1920,1274,1
1920,1277,1
1920,1280,6
1920,1281,1
1920,1286,1
1920,1292,1
1920,1305,5
1920,1307,1
1920,1308,1
1920,1309,1
1920,1310,1
1920,1314,1
1920,1315,1
1920,1317,1
1920,1319,2
1920,1322,1
1920,1324,4
1920,1327,1
1920,1335,1
1920,1338,1
1920,1339,1
1920,1340,1
1920,1343,1
1920,1344,1
1920,1350,1
1920,1357,1
1920,1359,13
1920,1360,1
1920,1361,1
1920,1363,1
1920,1367,2
1920,1372,2
1920,1373,1
1920,1379,1
1920,1380,1
1920,1381,1
1920,1383,1
1920,1385,1
1920,1386,1
1920,1387,1
1920,1390,2
1920,1393,1
1920,1397,1
1920,1399,1
1920,1401,1
1920,1406,1
1920,1407,1
1920,1411,2
1920,1413,1
1920,1415,2
1920,1416,1
1920,1418,1
1920,1422,3
1920,1425,1
1920,1427,1
1920,1428,1
1920,1432,2
1920,1437,1
1920,1439,1
1920,1441,3
1920,1447,2
1920,1449,2
1920,1457,3
1920,1464,2
1920,1467,2
1920,1468,1
1920,1469,2
1920,1470,1
1920,1472,1
1920,1474,3
1920,1479,1
1920,1480,1
1920,1482,1
1920,1493,1
1920,1499,2
1920,1500,1
1920,1503,3
1920,1508,2
1920,1518,3
1920,1519,1
1920,1526,1
1920,1530,1
1920,1532,1
1920,1536,5
1920,1537,1
1920,1538,1
1920,1539,1
1920,1546,1
1920,1549,1
1920,1552,1
1920,1553,2
1920,1556,1
1920,1561,1
1920,1562,2
1920,1565,1
1920,1566,2
1920,1569,1
1920,1571,1
1920,1572,2
1920,1573,1
1920,1576,1
1920,1578,1
1920,1579,2
1920,1580,1
1920,1585,1
1920,1586,1
1920,1590,1
1920,1596,5
1920,1599,5
1920,1604,1
1920,1614,1
1920,1617,1
1920,1619,2
1920,1620,4
1920,1626,2
1920,1629,2
1920,1631,2
1920,1634,3
1920,1637,1
1920,1638,1
1920,1640,2
1920,1642,1
1920,1643,1
1920,1645,1
1920,1647,3
1920,1648,1
1920,1651,1
1920,1653,1
1920,1655,1
1920,1660,1
1920,1661,1
1920,1664,2
1920,1665,3
1920,1672,2
1920,1677,2
1920,1680,1
1920,1681,1
1920,1682,1
1920,1684,1
1920,1685,1
1920,1686,1
1920,1688,3
1920,1690,1
1920,1695,3
1920,1697,1
1920,1699,1
1920,1700,1
1920,1703,2
1920,1704,3
1920,1712,1
1920,1715,1
1920,1716,1
1920,1717,3
1920,1722,1
1920,1725,1
1920,1730,2
1920,1731,2
1920,1736,1
1920,1737,1
1920,1741,1
1920,1745,2
1920,1749,1
1920,1753,1
1920,1756,1
1920,1757,1
1920,1758,2
1920,1759,2
1920,1765,1
1920,1779,1
1920,1783,1
1920,1784,2
1920,1788,1
1920,1789,1
1920,1790,2
1920,1791,4
1920,1793,1
1920,1796,2
1920,1798,1
1920,1806,2
1920,1808,1
1920,1809,1
1920,1813,1
1920,1814,3
1920,1816,1
1920,1817,2
1920,1818,1
1920,1822,1
1920,1828,1
1920,1831,2
1920,1832,3
1920,1833,2
1920,1834,1
1920,1836,3
1920,1837,2
1920,1843,1
1920,1844,1
1920,1846,8
1920,1850,1
1920,1851,1
1920,1852,1
1920,1854,1
1920,1855,3
1920,1856,1
1920,1858,2
1920,1862,1
1920,1863,1
1920,1870,2
1920,1871,1
1920,1873,1
1920,1874,2
1920,1875,1
1920,1878,2
1920,1880,2
1920,1881,1
1920,1882,1
1920,1883,2
1920,1884,1
1920,1886,1
1920,1888,3
1920,1890,3
1920,1891,4
1920,1892,3
1920,1893,4
1920,1895,16
1920,1896,2
1920,1897,11
1920,1899,65
1920,1900,7
1920,1901,2
1920,1902,7
1920,1903,5
1920,1904,15
1920,1905,3
1920,1906,5
1920,1907,2
1920,1909,1
1920,1910,2
1920,1911,1
1920,1912,6
1920,1913,2
1920,1914,1
1920,1915,8
1920,1916,4
1920,1917,2
1920,1918,6
1920,1919,7
1920,1920,1082
1920,1924,1
1680,452,1
1680,567,1
1680,721,1
1680,766,1
1680,798,1
1680,800,1
1680,801,1
1680,809,1
1680,820,1
1680,825,1
1680,838,1
1680,847,1
1680,854,1
1680,902,1
1680,929,1
1680,954,1
1680,970,1
1680,986,1
1680,994,1
1680,995,1
1680,1008,2
1680,1009,3
1680,1018,1
1680,1024,4
1680,1026,1
1680,1027,1
1680,1028,1
1680,1029,1
1680,1034,1
1680,1039,1
1680,1040,1
1680,1044,1
1680,1050,1
1680,1062,1
1680,1063,1
1680,1071,1
1680,1084,1
1680,1085,1
1680,1108,1
1680,1111,1
1680,1112,1
1680,1129,1
1680,1130,1
1680,1133,1
1680,1136,3
1680,1139,1
1680,1144,1
1680,1145,1
1680,1149,1
1680,1150,1
1680,1153,1
1680,1155,1
1680,1163,1
1680,1166,1
1680,1171,1
1680,1174,1
1680,1175,1
1680,1179,1
1680,1187,1
1680,1197,1
1680,1199,1
1680,1200,1
1680,1206,1
1680,1210,1
1680,1216,1
1680,1218,1
1680,1224,1
1680,1226,2
1680,1227,1
1680,1229,1
1680,1231,2
1680,1232,1
1680,1234,1
1680,1235,3
1680,1243,1
1680,1248,1
1680,1251,2
1680,1259,1
1680,1262,1
1680,1265,1
1680,1266,1
1680,1267,2
1680,1272,2
1680,1273,1
1680,1277,1
1680,1279,1
1680,1281,1
1680,1285,1
1680,1288,1
1680,1294,1
1680,1295,2
1680,1297,1
1680,1298,1
1680,1299,1
1680,1302,1
1680,1303,1
1680,1307,1
1680,1308,2
1680,1312,2
1680,1313,1
1680,1316,1
1680,1326,1
1680,1327,7
1680,1328,1
1680,1330,1
1680,1332,1
1680,1333,2
1680,1335,1
1680,1336,1
1680,1337,1
1680,1342,1
1680,1343,1
1680,1344,1
1680,1345,1
1680,1347,2
1680,1349,1
1680,1350,2
1680,1357,1
1680,1358,1
1680,1362,1
1680,1367,1
1680,1376,1
1680,1380,3
1680,1384,1
1680,1387,2
1680,1389,2
1680,1390,1
1680,1394,2
1680,1395,1
1680,1397,1
1680,1399,1
1680,1401,1
1680,1405,1
1680,1408,1
1680,1409,2
1680,1420,1
1680,1426,2
1680,1432,1
1680,1434,1
1680,1436,1
1680,1437,2
1680,1438,1
1680,1442,2
